"","Country","Year","Area","Metier","Gear","Vessel_length","kw_days","Days_at_sea","FU","lvl4"
"796","BEL",2013,"27.7.agj","OTB_CRU_70-99_0_0_all","OTB","24<40",631,1,"19","OTB_CRU"
"797","BEL",2013,"27.7.fghj","OTB_CRU_70-99_0_0_all","OTB","24<40",1102,2,"21","OTB_CRU"
"798","BEL",2013,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",129622,144,"22","OTB_CRU"
"799","BEL",2013,"27.7","SSC_DEF_100-119_0_0_all","SSC","24<40",3716,4,"outFU","SSC_DEF"
"800","BEL",2013,"27.7","SSC_DEF_70-99_0_0_all","SSC","24<40",15793,17,"outFU","SSC_DEF"
"801","BEL",2013,"27.7","TBB_DEF_70-99_0_0_all","TBB","10<24",17017,77,"outFU","TBB_DEF"
"802","BEL",2013,"27.7","TBB_DEF_70-99_0_0_all","TBB","24<40",306992,330,"outFU","TBB_DEF"
"804","BEL",2013,"27.7.fghj","TBB_DEF_70-99_0_0_all","TBB","24<40",7200,6,"21","TBB_DEF"
"805","BEL",2013,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",386687,383,"22","TBB_DEF"
"806","BEL",2013,"27.7","MIS_MIS_0_0_0_HC","MIS","10<24",14454,66,"outFU","MIS_MIS"
"807","BEL",2013,"27.7","MIS_MIS_0_0_0_HC","MIS","24<40",29525,25,"outFU","MIS_MIS"
"808","BEL",2013,"27.7","GTR_DEF_all_0_0_all","GTR","10<24",10166,17,"outFU","GTR_DEF"
"809","BEL",2013,"27.7","OTB_CRU_70-99_0_0_all","OTB","24<40",10074,12,"outFU","OTB_CRU"
"810","BEL",2013,"27.7.agj","OTB_CRU_70-99_0_0_all","OTB","24<40",631,1,"19","OTB_CRU"
"811","BEL",2013,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",22440,40,"22","OTB_CRU"
"812","BEL",2013,"27.7","SSC_DEF_70-99_0_0_all","SSC","24<40",115435,135,"outFU","SSC_DEF"
"813","BEL",2013,"27.7","TBB_DEF_>=120_0_0_all","TBB","24<40",19056,18,"outFU","TBB_DEF"
"814","BEL",2013,"27.7","TBB_DEF_70-99_0_0_all","TBB","10<24",53876,244,"outFU","TBB_DEF"
"815","BEL",2013,"27.7","TBB_DEF_70-99_0_0_all","TBB","24<40",470467,489,"outFU","TBB_DEF"
"817","BEL",2013,"27.7.fghj","TBB_DEF_70-99_0_0_all","TBB","24<40",29848,25,"21","TBB_DEF"
"818","BEL",2013,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",261529,244,"22","TBB_DEF"
"819","BEL",2013,"27.7.e","MIS_MIS_0_0_0_HC","MIS","10<24",438,2,NA,"MIS_MIS"
"820","BEL",2013,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","24<40",3857,7,NA,"OTB_CRU"
"821","BEL",2013,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",18183,33,NA,"OTB_CRU"
"822","BEL",2013,"27.7.e","SSC_DEF_70-99_0_0_all","SSC","24<40",26250,25,NA,"SSC_DEF"
"823","BEL",2013,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","10<24",442,2,NA,"TBB_DEF"
"824","BEL",2013,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","10<24",19633,89,NA,"TBB_DEF"
"825","BEL",2013,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",131464,128,NA,"TBB_DEF"
"826","BEL",2013,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",450314,401,NA,"TBB_DEF"
"827","BEL",2013,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",286215,251,NA,"TBB_DEF"
"829","BEL",2013,"27.7.g","OTB_DEF_100-119_0_0_all","OTB","10<24",884,4,NA,"OTB_DEF"
"830","BEL",2013,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","10<24",4877,7,NA,"OTB_CRU"
"831","BEL",2013,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","10<24",31257,45,NA,"OTB_CRU"
"832","BEL",2013,"27.7.e","OTB_CRU_70-99_0_0_all","OTB","24<40",13764,14,NA,"OTB_CRU"
"833","BEL",2013,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","24<40",7349,12,NA,"OTB_CRU"
"834","BEL",2013,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",50238,82,NA,"OTB_CRU"
"835","BEL",2013,"27.7.e","SSC_DEF_70-99_0_0_all","SSC","24<40",7642,8,NA,"SSC_DEF"
"836","BEL",2013,"27.7.f","SSC_DEF_70-99_0_0_all","SSC","24<40",2400,2,NA,"SSC_DEF"
"837","BEL",2013,"27.7.g","SSC_DEF_70-99_0_0_all","SSC","24<40",1200,1,NA,"SSC_DEF"
"838","BEL",2013,"27.7.f","TBB_DEF_>=120_0_0_all","TBB","24<40",2877,3,NA,"TBB_DEF"
