FishStock,Year,var,value,Advice.Year
COD,2016,Catch,4865,2016
COD,1971,SSB,10093,2016
COD,1972,SSB,9298,2016
COD,1973,SSB,8617,2016
COD,1974,SSB,8327,2016
COD,1975,SSB,7526,2016
COD,1976,SSB,7316,2016
COD,1977,SSB,8841,2016
COD,1978,SSB,9689,2016
COD,1979,SSB,9848,2016
COD,1980,SSB,10347,2016
COD,1981,SSB,11212,2016
COD,1982,SSB,13547,2016
COD,1983,SSB,13008,2016
COD,1984,SSB,9568,2016
COD,1985,SSB,13103,2016
COD,1986,SSB,13692,2016
COD,1987,SSB,11364,2016
COD,1988,SSB,16607,2016
COD,1989,SSB,26324,2016
COD,1990,SSB,19126,2016
COD,1991,SSB,10846,2016
COD,1992,SSB,9074,2016
COD,1993,SSB,12282,2016
COD,1994,SSB,14361,2016
COD,1995,SSB,13029,2016
COD,1996,SSB,15919,2016
COD,1997,SSB,14106,2016
COD,1998,SSB,12601,2016
COD,1999,SSB,11002,2016
COD,2000,SSB,7695,2016
COD,2001,SSB,8618,2016
COD,2002,SSB,10881,2016
COD,2003,SSB,8886,2016
COD,2004,SSB,4648,2016
COD,2005,SSB,3403,2016
COD,2006,SSB,3775,2016
COD,2007,SSB,5128,2016
COD,2008,SSB,5466,2016
COD,2009,SSB,5110,2016
COD,2010,SSB,4981,2016
COD,2011,SSB,9100,2016
COD,2012,SSB,13719,2016
COD,2013,SSB,9830,2016
COD,2014,SSB,5247,2016
COD,2015,SSB,5872,2016
COD,2016,SSB,8035,2016
COD,1971,F,0.557,2016
COD,1972,F,0.517,2016
COD,1973,F,0.541,2016
COD,1974,F,0.375,2016
COD,1975,F,0.678,2016
COD,1976,F,0.554,2016
COD,1977,F,0.349,2016
COD,1978,F,0.361,2016
COD,1979,F,0.467,2016
COD,1980,F,0.694,2016
COD,1981,F,0.808,2016
COD,1982,F,0.64,2016
COD,1983,F,0.834,2016
COD,1984,F,0.531,2016
COD,1985,F,0.539,2016
COD,1986,F,0.787,2016
COD,1987,F,0.811,2016
COD,1988,F,0.639,2016
COD,1989,F,0.817,2016
COD,1990,F,0.855,2016
COD,1991,F,0.981,2016
COD,1992,F,0.851,2016
COD,1993,F,0.749,2016
COD,1994,F,0.749,2016
COD,1995,F,0.725,2016
COD,1996,F,0.853,2016
COD,1997,F,0.806,2016
COD,1998,F,0.955,2016
COD,1999,F,0.869,2016
COD,2000,F,0.757,2016
COD,2001,F,0.753,2016
COD,2002,F,0.854,2016
COD,2003,F,0.94,2016
COD,2004,F,0.955,2016
COD,2005,F,0.988,2016
COD,2006,F,0.83,2016
COD,2007,F,0.832,2016
COD,2008,F,0.756,2016
COD,2009,F,0.769,2016
COD,2010,F,0.554,2016
COD,2011,F,0.49,2016
COD,2012,F,0.681,2016
COD,2013,F,0.916,2016
COD,2014,F,0.75,2016
COD,2015,F,0.527,2016
COD,2016,F,0.73,2016
COD,1971,Catch,5782,2015
COD,1972,Catch,4737,2015
COD,1973,Catch,4015,2015
COD,1974,Catch,2898,2015
COD,1975,Catch,3993,2015
COD,1976,Catch,4818,2015
COD,1977,Catch,3059,2015
COD,1978,Catch,3647,2015
COD,1979,Catch,4650,2015
COD,1980,Catch,7243,2015
COD,1981,Catch,10597,2015
COD,1982,Catch,8766,2015
COD,1983,Catch,9641,2015
COD,1984,Catch,6631,2015
COD,1985,Catch,8317,2015
COD,1986,Catch,10475,2015
COD,1987,Catch,10228,2015
COD,1988,Catch,17191,2015
COD,1989,Catch,19809,2015
COD,1990,Catch,12749,2015
COD,1991,Catch,9336,2015
COD,1992,Catch,9747,2015
COD,1993,Catch,10425,2015
COD,1994,Catch,10620,2015
COD,1995,Catch,11709,2015
COD,1996,Catch,12681,2015
COD,1997,Catch,12035,2015
COD,1998,Catch,11431,2015
COD,1999,Catch,8594,2015
COD,2000,Catch,6536,2015
COD,2001,Catch,8308,2015
COD,2002,Catch,9236,2015
COD,2003,Catch,6420,2015
COD,2004,Catch,3672,2015
COD,2005,Catch,3062,2015
COD,2006,Catch,3776,2015
COD,2007,Catch,4830,2015
COD,2008,Catch,3961,2015
COD,2009,Catch,3292,2015
COD,2010,Catch,3229,2015
COD,2011,Catch,7957,2015
COD,2012,Catch,8644,2015
COD,2013,Catch,6887,2015
COD,2014,Catch,4619,2015
COD,2015,Catch,6005,2015
COD,1971,SSB,10093,2015
COD,1972,SSB,9298,2015
COD,1973,SSB,8617,2015
COD,1974,SSB,8327,2015
COD,1975,SSB,7526,2015
COD,1976,SSB,7316,2015
COD,1977,SSB,8841,2015
COD,1978,SSB,9689,2015
COD,1979,SSB,9848,2015
COD,1980,SSB,10347,2015
COD,1981,SSB,11212,2015
COD,1982,SSB,13547,2015
COD,1983,SSB,13008,2015
COD,1984,SSB,9568,2015
COD,1985,SSB,13103,2015
COD,1986,SSB,13692,2015
COD,1987,SSB,11364,2015
COD,1988,SSB,16607,2015
COD,1989,SSB,26324,2015
COD,1990,SSB,19126,2015
COD,1991,SSB,10846,2015
COD,1992,SSB,9074,2015
COD,1993,SSB,12283,2015
COD,1994,SSB,14363,2015
COD,1995,SSB,13034,2015
COD,1996,SSB,15932,2015
COD,1997,SSB,14131,2015
COD,1998,SSB,12647,2015
COD,1999,SSB,11080,2015
COD,2000,SSB,7796,2015
COD,2001,SSB,8745,2015
COD,2002,SSB,11004,2015
COD,2003,SSB,8958,2015
COD,2004,SSB,4689,2015
COD,2005,SSB,3436,2015
COD,2006,SSB,3801,2015
COD,2007,SSB,5157,2015
COD,2008,SSB,5512,2015
COD,2009,SSB,5186,2015
COD,2010,SSB,5089,2015
COD,2011,SSB,9439,2015
COD,2012,SSB,14856,2015
COD,2013,SSB,11610,2015
COD,2014,SSB,7270,2015
COD,2015,SSB,7676,2015
COD,1971,F,0.557,2015
COD,1972,F,0.517,2015
COD,1973,F,0.541,2015
COD,1974,F,0.375,2015
COD,1975,F,0.678,2015
COD,1976,F,0.554,2015
COD,1977,F,0.349,2015
COD,1978,F,0.361,2015
COD,1979,F,0.467,2015
COD,1980,F,0.694,2015
COD,1981,F,0.808,2015
COD,1982,F,0.64,2015
COD,1983,F,0.834,2015
COD,1984,F,0.531,2015
COD,1985,F,0.539,2015
COD,1986,F,0.787,2015
COD,1987,F,0.811,2015
COD,1988,F,0.639,2015
COD,1989,F,0.817,2015
COD,1990,F,0.855,2015
