,year,scenario,fleet,metier,effshare,effort,efmet,gear
45,2019,max,EN_Other_all,OTH,1,3542.829087,3542.829087,OTH
46,2019,max,EN_Otter_<10m,OTH,1,426.61262,426.61262,OTH
47,2019,max,EN_Otter_10<24m,OTH,1,2370.029856,2370.029856,OTH
48,2019,max,EN_Otter_24<40m,OTB_DEF_27.7.j,0.484364995,1697.968157,822.4363382,OTB_DEF_27
49,2019,max,EN_Otter_24<40m,OTH,0.515635005,1697.968157,875.5318188,OTH
50,2019,max,EN_Static_all,OTH,1,3876.251525,3876.251525,OTH
51,2019,max,FR_Other_all,OTH,1,12042.15946,12042.15946,OTH
52,2019,max,FR_Otter_10<24m,OTB_DEF_27.7.e,0.239316749,14591.21681,3491.922575,OTB_DEF_27
53,2019,max,FR_Otter_10<24m,OTB_DEF_27.7.h,0.084970794,14591.21681,1239.827271,OTB_DEF_27
54,2019,max,FR_Otter_10<24m,OTH,0.675712457,14591.21681,9859.46696,OTH
55,2019,max,FR_Otter_24<40m,OTB_DEF_27.7.e,0.175921897,15905.21211,2798.075091,OTB_DEF_27
56,2019,max,FR_Otter_24<40m,OTB_DEF_27.7.g,0.049938315,15905.21211,794.2794979,OTB_DEF_27
57,2019,max,FR_Otter_24<40m,OTB_DEF_27.7.h,0.17686027,15905.21211,2813.000103,OTB_DEF_27
58,2019,max,FR_Otter_24<40m,OTB_DEF_27.7.j,0.206043995,15905.21211,3277.173449,OTB_DEF_27
59,2019,max,FR_Otter_24<40m,OTH,0.391235523,15905.21211,6222.683973,OTH
60,2019,max,FR_Otter_all,OTH,0.85674909,4327.435,3707.526,OTH
61,2019,max,FR_Otter_all,OTT_DEF_27.7.g,0.14325091,4327.435,619.909,OTT_DEF_27
62,2019,max,IE_Beam_10<24m,OTH,1,414.1214543,414.1214543,OTH
63,2019,max,IE_Beam_24<40m,OTH,0.006156554,1880.388295,11.5767128,OTH
64,2019,max,IE_Beam_24<40m,TBB_DEF_27.7.g,0.993843446,1880.388295,1868.811582,TBB_DEF_27
65,2019,max,IE_Otter_10<24m,OTB_DEF_27.7.g,0.321756329,12313.9614,3962.095019,OTB_DEF_27
66,2019,max,IE_Otter_10<24m,OTB_DEF_27.7.j,0.170615033,12313.9614,2100.94693,OTB_DEF_27
67,2019,max,IE_Otter_10<24m,OTH,0.460695961,12313.9614,5672.992277,OTH
68,2019,max,IE_Otter_10<24m,SSC_DEF_27.7.g,0.046932677,12313.9614,577.9271734,SSC_DEF_27
69,2019,max,IE_Otter_24<40m,OTB_DEF_27.7.b,0.056079913,9276.741541,520.23886,OTB_DEF_27
70,2019,max,IE_Otter_24<40m,OTB_DEF_27.7.g,0.181866871,9276.741541,1687.131959,OTB_DEF_27
71,2019,max,IE_Otter_24<40m,OTH,0.762053216,9276.741541,7069.370721,OTH
73,2019,max,SP_Static_24<40m,OTH,1,365.7212314,365.7212314,OTH
74,2019,max,SP_Static_all,LLS_DEF_27.7.c,0.102849071,2771.785274,285.0755404,LLS_DEF_27
75,2019,max,SP_Static_all,LLS_DEF_27.7.j,0.710490245,2771.785274,1969.326399,LLS_DEF_27
76,2019,max,SP_Static_all,OTH,0.186660684,2771.785274,517.3833338,OTH
77,2019,min,BE_Beam_10<24m,OTH,1,0,0,OTH
78,2019,min,BE_Beam_24<40m,OTH,0.68118469,0,0,OTH
79,2019,min,BE_Beam_24<40m,TBB_DEF_27.7.g,0.31881531,0,0,TBB_DEF_27
80,2019,min,BE_Otter_24<40m,OTH,1,0,0,OTH
81,2019,min,EN_Beam_10<24m,OTH,1,0,0,OTH
82,2019,min,EN_Beam_24<40m,OTH,1,0,0,OTH
83,2019,min,EN_Other_all,OTH,1,0,0,OTH
84,2019,min,EN_Otter_<10m,OTH,1,0,0,OTH
85,2019,min,EN_Otter_10<24m,OTH,1,0,0,OTH
86,2019,min,EN_Otter_24<40m,OTB_DEF_27.7.j,0.484364995,0,0,OTB_DEF_27
87,2019,min,EN_Otter_24<40m,OTH,0.515635005,0,0,OTH
88,2019,min,EN_Static_all,OTH,1,0,0,OTH
89,2019,min,FR_Other_all,OTH,1,6514.612067,6514.612067,OTH
90,2019,min,FR_Otter_10<24m,OTB_DEF_27.7.e,0.239316749,0,0,OTB_DEF_27
91,2019,min,FR_Otter_10<24m,OTB_DEF_27.7.h,0.084970794,0,0,OTB_DEF_27
92,2019,min,FR_Otter_10<24m,OTH,0.675712457,0,0,OTH
93,2019,min,FR_Otter_24<40m,OTB_DEF_27.7.e,0.175921897,0,0,OTB_DEF_27
