fleet,metier,year,stock,L,D,V,metier2,Country,CatchKG
BE_Otter_24<40m,OTB_CRU_27.7.e,2013,WHG,9.282,0,10428.22,OTB_CRU,BE,9282
BE_Otter_24<40m,OTB_CRU_27.7.e,2014,COD,0.08,0.043941463,210.24,OTB_CRU,BE,123.941463
BE_Otter_24<40m,OTB_CRU_27.7.e,2014,WHG,4.242,1.224084,6039.38,OTB_CRU,BE,5466.084
BE_Otter_24<40m,OTB_CRU_27.7.e,2015,COD,0.2,0.066562,546.06,OTB_CRU,BE,266.562
BE_Otter_24<40m,OTB_CRU_27.7.e,2015,WHG,10.562,11.06981,13154.74,OTB_CRU,BE,21631.81
BE_Otter_24<40m,OTB_CRU_27.7.e,2016,COD,0.052,0,181.68,OTB_CRU,BE,52
BE_Otter_24<40m,OTB_CRU_27.7.e,2016,WHG,3.324,0.647122,3074.3,OTB_CRU,BE,3971.122
BE_Otter_24<40m,OTB_CRU_27.7.e,2017,COD,0.014,0.001064,37.14,OTB_CRU,BE,15.064
BE_Otter_24<40m,OTB_CRU_27.7.e,2017,WHG,4.072,1.913566135,3540.74,OTB_CRU,BE,5985.566135
BE_Otter_24<40m,OTB_CRU_27.7.f,2009,COD,1.786,0,5162.75,OTB_CRU,BE,1786
BE_Otter_24<40m,OTB_CRU_27.7.f,2009,HAD,1,0,1582.59,OTB_CRU,BE,1000
BE_Otter_24<40m,OTB_CRU_27.7.f,2009,WHG,2.556,0,2478.33,OTB_CRU,BE,2556
BE_Otter_24<40m,OTB_CRU_27.7.f,2010,COD,0.303,0,777.08,OTB_CRU,BE,303
BE_Otter_24<40m,OTB_CRU_27.7.f,2010,HAD,0.141,0,187.25,OTB_CRU,BE,141
BE_Otter_24<40m,OTB_CRU_27.7.f,2010,WHG,1.492,0,1703.64,OTB_CRU,BE,1492
BE_Otter_24<40m,OTB_CRU_27.7.f,2011,COD,2.279,0,8276.36,OTB_CRU,BE,2279
BE_Otter_24<40m,OTB_CRU_27.7.f,2011,HAD,2.374,0,4360.71,OTB_CRU,BE,2374
BE_Otter_24<40m,OTB_CRU_27.7.f,2011,WHG,2.387,0,3243.26,OTB_CRU,BE,2387
BE_Otter_24<40m,OTB_CRU_27.7.f,2012,COD,2.057,0,5693.94,OTB_CRU,BE,2057
BE_Otter_24<40m,OTB_CRU_27.7.f,2012,HAD,4.156,0,4763.76,OTB_CRU,BE,4156
BE_Otter_24<40m,OTB_CRU_27.7.f,2012,WHG,2.743,0,2828.73,OTB_CRU,BE,2743
BE_Otter_24<40m,OTB_CRU_27.7.f,2013,COD,2.755,0,6696.99,OTB_CRU,BE,2755
BE_Otter_24<40m,OTB_CRU_27.7.f,2013,HAD,3.515,0,6233.47,OTB_CRU,BE,3515
BE_Otter_24<40m,OTB_CRU_27.7.f,2013,WHG,2.326,0,2437.53,OTB_CRU,BE,2326
BE_Otter_24<40m,OTB_CRU_27.7.f,2014,COD,0.431,0.153833963,1327.74,OTB_CRU,BE,584.833963
BE_Otter_24<40m,OTB_CRU_27.7.f,2014,HAD,3.686,0,5898.62,OTB_CRU,BE,3686
BE_Otter_24<40m,OTB_CRU_27.7.f,2014,WHG,5.119,1.477153475,6344.65,OTB_CRU,BE,6596.153475
BE_Otter_24<40m,OTB_CRU_27.7.f,2015,COD,0.376,0.112736832,918.75,OTB_CRU,BE,488.736832
BE_Otter_24<40m,OTB_CRU_27.7.f,2015,HAD,0.821,0,965.95,OTB_CRU,BE,821
BE_Otter_24<40m,OTB_CRU_27.7.f,2015,WHG,1.162,1.217868079,872.26,OTB_CRU,BE,2379.868079
BE_Otter_24<40m,OTB_CRU_27.7.f,2016,COD,1.478,0.176309711,4429.35,OTB_CRU,BE,1654.309711
BE_Otter_24<40m,OTB_CRU_27.7.f,2016,HAD,2.031,3.463018,2632.66,OTB_CRU,BE,5494.018
BE_Otter_24<40m,OTB_CRU_27.7.f,2016,WHG,1.725,0.335826,1779.03,OTB_CRU,BE,2060.826
BE_Otter_24<40m,OTB_CRU_27.7.f,2017,COD,0.325,0.024695,858.62,OTB_CRU,BE,349.695
BE_Otter_24<40m,OTB_CRU_27.7.f,2017,HAD,0.039,0.06649813,133.42,OTB_CRU,BE,105.49813
BE_Otter_24<40m,OTB_CRU_27.7.f,2017,WHG,0.1,0.046993,153.16,OTB_CRU,BE,146.993
BE_Otter_24<40m,OTB_CRU_27.7.g,2009,COD,11.255,0,26201.13,OTB_CRU,BE,11255
BE_Otter_24<40m,OTB_CRU_27.7.g,2009,HAD,28.53,0,36053.99,OTB_CRU,BE,28530
BE_Otter_24<40m,OTB_CRU_27.7.g,2009,WHG,38.219,0,32156.57,OTB_CRU,BE,38219
BE_Otter_24<40m,OTB_CRU_27.7.g,2010,COD,13.671,0,43160.46,OTB_CRU,BE,13671
BE_Otter_24<40m,OTB_CRU_27.7.g,2010,HAD,44.691,0,55942.74,OTB_CRU,BE,44691
BE_Otter_24<40m,OTB_CRU_27.7.g,2010,WHG,28.419,0,26852.15,OTB_CRU,BE,28419
BE_Otter_24<40m,OTB_CRU_27.7.g,2011,COD,27.334,0,83487.23,OTB_CRU,BE,27334
BE_Otter_24<40m,OTB_CRU_27.7.g,2011,HAD,37.209,0,51894.62,OTB_CRU,BE,37209
BE_Otter_24<40m,OTB_CRU_27.7.g,2011,WHG,21.055,0,31472.6,OTB_CRU,BE,21055
BE_Otter_24<40m,OTB_CRU_27.7.g,2012,COD,52.174,0,162159.38,OTB_CRU,BE,52174
BE_Otter_24<40m,OTB_CRU_27.7.g,2012,HAD,55.162,0,76202.77,OTB_CRU,BE,55162
BE_Otter_24<40m,OTB_CRU_27.7.g,2012,WHG,47.16,0,57326.94,OTB_CRU,BE,47160
